
2024/08/08 (20:05:53) | ===> btop++ v.1.3.2
2024/08/08 (20:05:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/08 (20:05:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (20:09:54) | ===> btop++ v.1.3.2
2024/08/08 (20:09:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/08 (20:09:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (20:10:11) | ===> btop++ v.1.3.2
2024/08/08 (20:10:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/08 (20:10:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (20:10:30) | ===> btop++ v.1.3.2
2024/08/08 (20:10:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/08 (20:10:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
